title,question,answer,url
environment variables - How does /usr/bin/env work in a Linux shebang line?,I know shebang line like this: ,"
env is the name of a Unix program. If you read the manual (man env) you can see that one way to use it is env COMMAND, where in your case, COMMAND is python3.
According to the manual, this will

Set each NAME to VALUE in the environment and run COMMAND.

Running env alone will show you what NAMEs and VALUEs are set:
$ env
TERM=xterm-256color
SHELL=/bin/bash
PATH=/usr/local/bin:/usr/bin:/bin:/usr/local/sbin:/usr/sbin:/sbin
…

Therefore, /usr/bin/env python3 is an instruction to set the PATH (as well as all the other NAME+VALUE pairs), and then run python3, using the first directory in the PATH that contains the python3 executable.
",https://stackoverflow.com//questions/43793040/how-does-usr-bin-env-work-in-a-linux-shebang-line
"linux - Docker error response from daemon: ""Conflict ... already in use by container""",I've been using Docker on my PC to run Quantum GIS with the following instructions I've found here: docker-qgis-desktop - A simple docker container that runs QGIS desktop,"
It looks like a container with the name qgis-desktop-2-4 already exists in the system. You can check the output of the below command to confirm if it indeed exists:
$ docker ps -a

The last column in the above command's output is for names.
If the container exists, remove it using:
$ docker rm qgis-desktop-2-4

Or forcefully using,
$ docker rm -f qgis-desktop-2-4

And then try creating a new container.
",https://stackoverflow.com//questions/31676155/docker-error-response-from-daemon-conflict-already-in-use-by-container
linux - How to list files in a directory in a C program?,I'm trying to write an ftp server on Linux. In this matter how can I list files in the directory on terminal by a C program? Maybe I can use exec function to run find command but I want file name as a string to send client program. How can I do this?,"
An example, available for POSIX compliant systems :
/*
 * This program displays the names of all files in the current directory.
 */

#include <dirent.h> 
#include <stdio.h> 

int main(void) {
  DIR *d;
  struct dirent *dir;
  d = opendir(""."");
  if (d) {
    while ((dir = readdir(d)) != NULL) {
      printf(""%s\n"", dir->d_name);
    }
    closedir(d);
  }
  return(0);
}

Beware that such an operation is platform dependent in C.
Source : http://faq.cprogramming.com/cgi-bin/smartfaq.cgi?answer=1046380353&id=1044780608
",https://stackoverflow.com//questions/4204666/how-to-list-files-in-a-directory-in-a-c-program
linux - How to force 'cp' to overwrite directory instead of creating another one inside?,I'm trying to write a Bash script that will overwrite an existing directory. I have a directory foo/ and I am trying to overwrite bar/ with it. But when I do this:,"
You can do this using -T option in cp.
See Man page for cp.
-T, --no-target-directory
    treat DEST as a normal file

So as per your example, following is the file structure.
$ tree test
test
|-- bar
|   |-- a
|   `-- b
`-- foo
    |-- a
    `-- b
2 directories, 4 files

You can see the clear difference when you use -v for Verbose.
When you use just -R option.
$ cp -Rv foo/ bar/
`foo/' -> `bar/foo'
`foo/b' -> `bar/foo/b'
`foo/a' -> `bar/foo/a'
 $ tree
 |-- bar
 |   |-- a
 |   |-- b
 |   `-- foo
 |       |-- a
 |       `-- b
 `-- foo
     |-- a
     `-- b
3 directories, 6 files

When you use the option -T it overwrites the contents, treating the destination like a normal file and not directory.
$ cp -TRv foo/ bar/
`foo/b' -> `bar/b'
`foo/a' -> `bar/a'

$ tree
|-- bar
|   |-- a
|   `-- b
`-- foo
    |-- a
    `-- b
2 directories, 4 files

This should solve your problem.
",https://stackoverflow.com//questions/23698183/how-to-force-cp-to-overwrite-directory-instead-of-creating-another-one-inside
centos - How do I download a file from the internet to my linux server with Bash,Want to improve this question? Update the question so it's on-topic for Stack Overflow.,"
Using wget
wget -O /tmp/myfile 'http://www.google.com/logo.jpg'

or curl:
curl -o /tmp/myfile 'http://www.google.com/logo.jpg'

",https://stackoverflow.com//questions/14300794/how-do-i-download-a-file-from-the-internet-to-my-linux-server-with-bash
linux - How to print the ld(linker) search path,What is the way to print the search paths that in looked by ld in the order it searches.,"
You can do this by executing the following command:
ld --verbose | grep SEARCH_DIR | tr -s ' ;' \\012

gcc passes a few extra -L paths to the linker, which you can list with the following command:
gcc -print-search-dirs | sed '/^lib/b 1;d;:1;s,/[^/.][^/]*/\.\./,/,;t 1;s,:[^=]*=,:;,;s,;,;  ,g' | tr \; \\012

The answers suggesting to use ld.so.conf and ldconfig are not correct because they refer to the paths searched by the runtime dynamic linker (i.e. whenever a program is executed), which is not the same as the path searched by ld (i.e. whenever a program is linked).
",https://stackoverflow.com//questions/9922949/how-to-print-the-ldlinker-search-path
Process list on Linux via Python,How can I get running process list using Python on Linux?,"
IMO looking at the /proc filesystem is less nasty than hacking the text output of ps.
import os
pids = [pid for pid in os.listdir('/proc') if pid.isdigit()]

for pid in pids:
    try:
        print open(os.path.join('/proc', pid, 'cmdline'), 'rb').read().split('\0')
    except IOError: # proc has already terminated
        continue

",https://stackoverflow.com//questions/2703640/process-list-on-linux-via-python
linux - How do I edit /etc/sudoers from a script?,I need to edit /etc/sudoers from a script to add/remove stuff from white lists.,"
Old thread, but what about:
echo 'foobar ALL=(ALL:ALL) ALL' | sudo EDITOR='tee -a' visudo

",https://stackoverflow.com//questions/323957/how-do-i-edit-etc-sudoers-from-a-script
Shebang Notation: Python Scripts on Windows and Linux?,"I have some small utility scripts written in Python that I want to be usable on both Windows and Linux.  I want to avoid having to explicitly invoke the Python interpreter.  Is there an easy way to point shebang notation to the correct locations on both Windows and Linux?  If not, is there another way to allow implicit invocation of the Python interpreter on both Windows and Linux without having to modify the script when transferring between operating systems?","
Read up on the Python Launcher for Windows in the docs, which was initially described in PEP 397. It lets
you define custom shebang configurations in ""py.ini"" (e.g. to use pypy),
and out of the box you can use virtual shebangs such as #!/usr/bin/env python3, or shebangs with real paths such as #!""C:\Python33\python.exe"". (Quoting is required for paths containing spaces.) You can also add command-line options to a shebang. For example, the following shebang adds the option to enter interactive mode after the script terminates: #!/usr/bin/python3 -i.
The installer associates .py (console) and .pyw (GUI) script file types with the respectively named launchers, py.exe and pyw.exe, in order to enable shebang support for scripts in Windows. For an all-users installation, the launchers are installed to the Windows folder (i.e. %SystemRoot%). For a per-user installation, you may need to manually add the installation directory to PATH in order to use py.exe in the shell (*). Then from the command line you can run Python via py -2, py -3, py -2.6, py -3.3-32 (32-bit), and so on. The launcher is handy when combined with -m to run a module as a script using a particular version of the interpreter, e.g. py -3 -m pip install. 

(*) The new installer in 3.5+ defaults to ""%LocalAppData%\Programs\Python\Launcher"" for a per-user installation of the launcher, instead of installing it beside ""python.exe"", and it automatically adds this directory to PATH.
",https://stackoverflow.com//questions/7574453/shebang-notation-python-scripts-on-windows-and-linux
linux - fork: retry: Resource temporarily unavailable,Want to improve this question? Update the question so it's on-topic for Stack Overflow.,"
This is commonly caused by running out of file descriptors. 
There is the systems total file descriptor limit, what do you get from the command:
sysctl fs.file-nr

This returns counts of file descriptors:
<in_use> <unused_but_allocated> <maximum>

To find out what a users file descriptor limit is run the commands:
sudo su - <username>
ulimit -Hn

To find out how many file descriptors are in use by a user run the command:
sudo lsof -u <username> 2>/dev/null | wc -l

So now if you are having a system file descriptor limit issue you will need to edit your /etc/sysctl.conf file and add, or modify it it already exists, a line with fs.file-max and set it to a value large enough to deal with the number of file descriptors you need and reboot.
fs.file-max = 204708

",https://stackoverflow.com//questions/12079087/fork-retry-resource-temporarily-unavailable
linux - grep exclude multiple strings,I am trying to see a log file using tail -f and want to exclude all lines containing the following strings:,"
Filtering out multiple lines with grep:
Put these lines in filename.txt to test:
abc
def
ghi
jkl

grep command using -E flag with a pipe between tokens in a string:
grep -Ev 'def|jkl' filename.txt

prints:
abc
ghi

egrep using -v flag with pipe between tokens surrounded by parens:
egrep -v '(def|jkl)' filename.txt

prints:
abc
ghi

Or if stacking -e flags through grep parameters is okay (credit -> @Frizlab):
grep -Fv -e def -e jkl filename.txt

prints:
abc
ghi

",https://stackoverflow.com//questions/16212656/grep-exclude-multiple-strings
logging - View a log file in Linux dynamically," This question does not appear to be about a specific programming problem, a software algorithm, or software tools primarily used by programmers. If you believe the question would be on-topic on another Stack Exchange site, you can leave a comment to explain where the question may be able to be answered.","
tail -f yourlog.csv
Newly appended lines will continuously show.
",https://stackoverflow.com//questions/2099149/view-a-log-file-in-linux-dynamically
"linux - What is better, curl or wget?",Want to improve this question? Update the question so it can be answered with facts and citations by editing this post.,"
If you are programming, you should use curl. It has a nice api and is available for most languages. Shelling out to the os to run wget is a kludge and shouldn't be done if you have an API interface!
",https://stackoverflow.com//questions/636339/what-is-better-curl-or-wget
c - What is the role of libc(glibc) in our linux app?,"When we debug a program using gdb, we usually see functions with strange names defined in libc(glibc?). My questions are:","
libc implements both standard C functions like strcpy() and POSIX functions (which may be system calls) like getpid().  Note that not all standard C functions are in libc - most math functions are in libm.
You cannot directly make system calls in the same way that you call normal functions because calls to the kernel aren't normal function calls, so they can't be resolved by the linker.  Instead, architecture-specific assembly language thunks are used to call into the kernel - you can of course write these directly in your own program too, but you don't need to because libc provides them for you.
Note that in Linux it is the combination of the kernel and libc that provides the POSIX API.  libc adds a decent amount of value - not every POSIX function is necessarily a system call, and for the ones that are, the kernel behaviour isn't always POSIX conforming.
libc is a single library file (both .so and .a versions are available) and in most cases resides in /usr/lib.  However, the glibc (GNU libc) project provides more than just libc - it also provides the libm mentioned earlier, and other core libraries like libpthread.  So libc is just one of the libraries provided by glibc - and there are other alternate implementations of libc other than glibc.
",https://stackoverflow.com//questions/11372872/what-is-the-role-of-libcglibc-in-our-linux-app
linux - How many socket connections possible?,Has anyone an idea how many tcp-socket connections are possible on a modern standard Linux server?,"
I achieved 1600k concurrent idle socket connections, and at the same time 57k req/s on a Linux desktop (16G RAM, I7 2600 CPU). It's a single thread http server written in C with epoll. Source code is on github, a blog here.
Edit:
I did 600k concurrent HTTP connections (client & server) on both the same computer, with JAVA/Clojure . detail info post, HN discussion: http://news.ycombinator.com/item?id=5127251 
The cost of a connection(with epoll):

application need some RAM per connection
TCP buffer  2 * 4k ~ 10k, or more
epoll need some memory for a file descriptor, from epoll(7)


Each registered file descriptor costs roughly 90
                bytes on a 32-bit kernel, and roughly 160 bytes on a 64-bit kernel. 

",https://stackoverflow.com//questions/651665/how-many-socket-connections-possible
Best way to find os name and version in Unix/Linux platform,I need to find the OS name and version on Unix/Linux platform. For this I tried following:,"
This work fine for all Linux environment.
#!/bin/sh
cat /etc/*-release

In Ubuntu:
$ cat /etc/*-release
DISTRIB_ID=Ubuntu
DISTRIB_RELEASE=10.04
DISTRIB_CODENAME=lucid
DISTRIB_DESCRIPTION=""Ubuntu 10.04.4 LTS""

or 12.04:
$ cat /etc/*-release

DISTRIB_ID=Ubuntu
DISTRIB_RELEASE=12.04
DISTRIB_CODENAME=precise
DISTRIB_DESCRIPTION=""Ubuntu 12.04.4 LTS""
NAME=""Ubuntu""
VERSION=""12.04.4 LTS, Precise Pangolin""
ID=ubuntu
ID_LIKE=debian
PRETTY_NAME=""Ubuntu precise (12.04.4 LTS)""
VERSION_ID=""12.04""

In RHEL:
$ cat /etc/*-release
Red Hat Enterprise Linux Server release 6.5 (Santiago)
Red Hat Enterprise Linux Server release 6.5 (Santiago)

Or Use this Script:
#!/bin/sh
# Detects which OS and if it is Linux then it will detect which Linux
# Distribution.

OS=`uname -s`
REV=`uname -r`
MACH=`uname -m`

GetVersionFromFile()
{
    VERSION=`cat $1 | tr ""\n"" ' ' | sed s/.*VERSION.*=\ // `
}

if [ ""${OS}"" = ""SunOS"" ] ; then
    OS=Solaris
    ARCH=`uname -p` 
    OSSTR=""${OS} ${REV}(${ARCH} `uname -v`)""
elif [ ""${OS}"" = ""AIX"" ] ; then
    OSSTR=""${OS} `oslevel` (`oslevel -r`)""
elif [ ""${OS}"" = ""Linux"" ] ; then
    KERNEL=`uname -r`
    if [ -f /etc/redhat-release ] ; then
        DIST='RedHat'
        PSUEDONAME=`cat /etc/redhat-release | sed s/.*\(// | sed s/\)//`
        REV=`cat /etc/redhat-release | sed s/.*release\ // | sed s/\ .*//`
    elif [ -f /etc/SuSE-release ] ; then
        DIST=`cat /etc/SuSE-release | tr ""\n"" ' '| sed s/VERSION.*//`
        REV=`cat /etc/SuSE-release | tr ""\n"" ' ' | sed s/.*=\ //`
    elif [ -f /etc/mandrake-release ] ; then
        DIST='Mandrake'
        PSUEDONAME=`cat /etc/mandrake-release | sed s/.*\(// | sed s/\)//`
        REV=`cat /etc/mandrake-release | sed s/.*release\ // | sed s/\ .*//`
    elif [ -f /etc/debian_version ] ; then
        DIST=""Debian `cat /etc/debian_version`""
        REV=""""

    fi
    if [ -f /etc/UnitedLinux-release ] ; then
        DIST=""${DIST}[`cat /etc/UnitedLinux-release | tr ""\n"" ' ' | sed s/VERSION.*//`]""
    fi

    OSSTR=""${OS} ${DIST} ${REV}(${PSUEDONAME} ${KERNEL} ${MACH})""

fi

echo ${OSSTR}

",https://stackoverflow.com//questions/26988262/best-way-to-find-os-name-and-version-in-unix-linux-platform
java - Linux command for extracting war file?,How can I extract a .war file with Linux command prompt?,"
Using unzip
unzip -c whatever.war META-INF/MANIFEST.MF  

It will print the output in terminal.
And for extracting all the files,
 unzip whatever.war

Using jar
jar xvf test.war

Note! The jar command will extract war contents to current directory. Not to a subdirectory (like Tomcat does).
",https://stackoverflow.com//questions/3833578/linux-command-for-extracting-war-file
How to list empty folders in linux,In Linux how do I check all folders in a directory and output the name of all directories that are empty to a list.,"
Try the following:
find . -type d -empty

",https://stackoverflow.com//questions/9417967/how-to-list-empty-folders-in-linux
